,关键词数,词频字典,文件名,文件地址
0,3,"{'电子信息大类': 1, '人工智能': 1, '数据分析': 1}",0-2023年安徽省职业院校技能大赛（高职组）“移动应用设计与开发”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“移动应用设计与开发”赛项竞赛规程.pdf
1,1,{'数据分析': 49},1-2023年安徽省职业院校技能大赛（高职组）“人力资源服务”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“人力资源服务”赛项竞赛规程.pdf
2,3,"{'人工智能': 2, '网络安全': 1, '算法': 1}",2-2023年安徽省职业院校技能大赛（高职组）“数字艺术设计”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“数字艺术设计”赛项竞赛规程.pdf
3,3,"{'电子信息大类': 1, '网络安全': 1, '运维': 7}",3-2023年安徽省职业院校技能大赛（高职组）“网络系统管理”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“网络系统管理”赛项竞赛规程.pdf
4,2,"{'电子信息大类': 2, '数据分析': 1}",4-2023年安徽省职业院校技能大赛（高职组）“Web技术”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“Web技术”赛项竞赛规程.pdf
5,3,"{'电子信息大类': 1, '运维': 2, '算法': 2}",5-2023年安徽省职业院校技能大赛（高职组）“应用软件系统开发”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“应用软件系统开发”赛项竞赛规程.pdf
6,1,{'数据分析': 1},6-2023年安徽省职业院校技能大赛（高职组）“大数据应用开发”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“大数据应用开发”赛项竞赛规程.pdf
7,2,"{'集成电路': 48, '网络安全': 1}",7-2023年安徽省职业院校技能大赛（高职组）“集成电路应用开发”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“集成电路应用开发”赛项竞赛规程.pdf
8,2,"{'算法': 9, '数据分析': 10}",8-2023年安徽省职业院校技能大赛（高职组）“企业经营沙盘模拟”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“企业经营沙盘模拟”赛项竞赛规程.pdf
9,2,"{'网络安全': 2, '数据分析': 48}",9-2023年安徽省职业院校技能大赛（高职组）“商务数据分析”赛项竞赛规程（1205）.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“商务数据分析”赛项竞赛规程（1205）.pdf
